card_name	disposition	rationale
Aether Spellbomb	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
An Offer You Can't Refuse	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Ancient Tomb	COMPLETE	Goldfish-complete: ordinary untapped land play and intrinsic tap for two colorless with two self-damage are executed by the current rules engine; dedicated post-R7 mana-baseline fixture proves the exact resource and life transition.
Artificer's Assistant	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Banishing Knack	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Basalt Monolith	COMPLETE	Goldfish-complete: printed {3} cast, untapped entry, {T} for three colorless, skipped normal untap, and {3} self-untap are executable; dedicated post-R7 Monolith fixtures also prove the intrinsic mana and native untap actions are solver-visible.
Battered Golem	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Cephalid Coliseum	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Chain of Vapor	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Chrome Dome	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Chrome Mox	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
City of Traitors	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Codex Shredder	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Crystal Vein	AUDIT_REQUIRED	Current engine exposes some rules surface, but this card has not yet passed the clause-level goldfish completeness audit; all relevant Oracle clauses need executable evidence or explicit exemptions.
Defense Grid	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Disruptor Flute	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Dizzy Spell	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Dramatic Reversal	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Everflowing Chalice	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Faerie Mastermind	ENVIRONMENT_SPLIT_REQUIRED	Current coverage is environment-deferred, but opponent-driven behavior must be separated from intrinsic/base goldfish behavior before this card can be accepted; its real activated draw ability cannot remain hidden behind the environment label.
Fierce Guardianship	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Flooded Strand	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Flusterstorm	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Force of Negation	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
Force of Will	IMPLEMENTATION_REQUIRED	Current post-R7 database does not expose a playable rules role for this active deck identity; goldfish-relevant Oracle clauses and legal own-side actions must be classified and implemented or explicitly exempted.
